well,datum,groundElevation,utmEasting,utmNorthing,utmZn,ltrl,svDate,svcCompany,dvTool,surveyFlg,maxAngle,maxAngleDpth,md,inc,azm,tvd,tvdss,dls,localXoff,localYoff,easting,northing
AAAA-1111,999,999,0,0,39,0,2022-01-01,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,0,0.0,0.0,0,941,0.0,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-02,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,75,0.28,40.62,75,866,0.37,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-03,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,166,0.3,37.31,166,775,0.03,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-04,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,256,0.24,35.28,256,685,0.07,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-05,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,352,0.22,35.76,352,589,0.02,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-06,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,444,0.14,13.68,444,497,0.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-07,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,535,0.13,268.69,535,406,0.24,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-08,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,628,0.28,250.28,628,313,0.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-09,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,722,0.38,236.13,722,219,0.14,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-10,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,816,0.41,215.68,816,125,0.15,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-11,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,911,0.38,201.39,911,30,0.11,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-12,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1005,0.41,178.4,1005,-64,0.17,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-13,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1100,0.49,171.66,1100,-159,0.1,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-14,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1194,0.7,176.08,1194,-253,0.23,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-15,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1289,0.87,182.82,1289,-348,0.2,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-16,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1383,0.86,183.41,1383,-442,0.01,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-17,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1477,0.82,181.27,1477,-536,0.05,0,0,0,0
AAAA-1111,999,999,0,0,39,0,2022-01-18,OTHER OR UNKNOWN(OTH),2,AAP,30.06,7802,1572,0.72,172.84,1572,-631,0.16,0,0,0,0
