Unnamed: 0,Feature Id,Importances_1,Place_1,Importances_2,Place_2,Importances_3,Place_3,Importances_4,Place_4,Importances_5,Place_5
0,is_authorized,18.7264389676212,1,15.38055966704532,1,18.67808259390846,1,16.18803556640194,1,14.85675030013861,1
1,is_avoid_toll_roads,11.94848821337884,2,10.98275507545535,2,12.85934752742106,2,13.66694492075713,2,10.1946368983902,2
2,is_sound,8.558346003418627,3,9.360160438954917,3,9.308638350508819,3,9.655495465867178,3,8.641859485645742,4
3,is_locate_user,8.344830624416133,4,9.269361344069878,4,8.926172651158634,4,8.613393125219021,4,8.556721180099748,5
4,is_open_routes,6.853768326181338,5,8.098201237530555,5,7.35102506614245,5,7.921057467486242,5,9.87793489369806,3
5,is_select_poi,6.478704906253751,6,7.422837600524972,6,6.662332628639228,6,5.584070608890499,7,6.022546755117548,8
6,is_cursor_update,5.753694423939173,7,4.262508653365864,9,4.40562037873193,10,4.843028425460866,10,4.872665085690005,9
7,is_alice_start,5.600775598407846,8,6.016842298178315,8,5.933115767462342,7,5.350377045093968,8,6.242336689388972,7
8,is_freedrive_ping,5.533362702763252,9,7.1494417343497,7,5.713255913777883,8,5.872081001058779,6,6.67336908775005,6
9,is_select_road_alert,4.074934640656512,10,3.94893730566605,10,4.423719737837647,9,5.195519334747382,9,4.794024645752247,10
10,is_select_user_placemark,3.082163184921475,11,3.000528153856062,11,2.870906415569398,11,2.879641343113229,11,3.486427624135942,11
11,is_select_transport_stop_placemark,2.26746408843794,12,0.8848084129522401,19,1.456467184926433,17,1.543297754525077,18,1.603293701652987,18
12,is_comment_road_alert,2.14053393741904,13,2.339355070546705,14,1.501068630952221,16,2.266587284304251,12,2.00929654943525,15
13,is_application_screenshot,2.077381650932841,14,2.58409278871109,13,2.237426235651679,12,1.929986457005528,13,2.180494764686994,13
14,is_taxi_order_card_show,2.016845134110708,15,2.90531238444556,12,1.884802432277426,13,1.66899587915616,16,2.672817016772427,12
15,is_changed_voice,1.790325311625986,16,1.643059306311652,15,1.820333909986265,14,1.591569515033996,17,1.646337811449209,17
16,is_map_rotation,1.624560717208092,17,1.469290380906907,17,1.544075467164569,15,1.702392374628719,15,1.870609596068021,16
17,is_bookmarks_list_show,1.551424268329955,18,1.579886535053816,16,1.001814034492155,19,1.43175278481208,19,1.395166637174787,19
18,is_cpaa,1.197875014208624,19,1.445061277651605,18,1.124729435215155,18,1.706551224692889,14,2.030378859418924,14
19,is_bookmarks_list_click,0.3732315923345452,20,0.2540447313619351,20,0.2952392390808772,20,0.3766282714015808,20,0.3679268246386788,20
20,is_ping,0.004850693434132438,21,0.002955603061497093,21,0.001826399095371673,21,0.01259415034350272,21,0.004405592895609566,21
