Дата,Номер,Время,БИВТ-23-1,,,,БИВТ-23-2,,,,БИВТ-23-3,,,,БИВТ-23-4,,,,БИВТ-23-5,,,,БИВТ-23-6,,,,БИВТ-23-7,,,,БИВТ-23-8,,,,БИВТ-23-9,,,,БИВТ-23-10,,,,БИВТ-23-11,,,,БИВТ-23-12,,,,БИВТ-23-13,,,,БИВТ-23-14,,,,БИВТ-23-15,,,,БИВТ-23-16,,,,БИВТ-23-17,,,,БИВТ-23-21,,,,БПМ-23-1,,,,БПМ-23-2,,,,БПМ-23-3,,,,БПМ-23-4,,,,ББИ-23-1,,,,ББИ-23-2,,,,ББИ-23-3,,,,ББИ-23-4,,,,ББИ-23-5,,,,ББИ-23-6,,,,ББИ-23-7,,,,ББИ-23-8,,,
,,,1,,2,,1,,2,,1,,2,,1,,2,,2,,1,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,,1,,2,
Понедельник,1,09:00:00 - 10:35:00,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Математика (Практические)
Вакансия 7 К. .",А-422,"Математика (Практические)
Вакансия 7 К. .",А-422,,,,,,,,,,,,,,,,,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-821-УВЦ, Б-823-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-821-УВЦ, Б-823-УВЦ","Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ
,,,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,,,,,,,,,"Математика (Практические)
Сметюхова А. В.",А-510,"Математика (Практические)
Сметюхова А. В.",А-510,"Введение в специальность (Практические)
",А-524,"Введение в специальность (Практические)
",А-524,,,,,,,,,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ",,,,,"Математика (Практические)
Вакансия 7 К. .",А-422,"Математика (Практические)
Вакансия 7 К. .",А-422,,,,,,,,,,,,,,,,,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ
,2,10:50:00 - 12:25:00,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Математика (Практические)
Чикалова А. В.",А-510,"Математика (Практические)
Чикалова А. В.",А-510,,,,,,,,,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Вакансия 1 К. .",Б-901,,,,,,,,,,,,,,,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Б-734,"Математика (Практические)
Вакансия 7 К. .",А-422,"Математика (Практические)
Вакансия 7 К. .",А-422,,,,,,,,,,,,,,,,,"Математика (Практические)
Шелепова Е. В.",Л-629,"Математика (Практические)
Шелепова Е. В.",Л-629,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-3
,,,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"История России (Лекционные)
Каюмов А. Т.",А-308,"Математика (Практические)
Чикалова А. В.",Г-323,"Математика (Практические)
Чикалова А. В.",Г-323,,,,,"История России (Практические)
Коршунов А. Н.",К-526,"История России (Практические)
Коршунов А. Н.",К-526,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,,,,,,,,,,,,,,,,,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-734,"Математика (Практические)
Вакансия 7 К. .",А-422,"Математика (Практические)
Вакансия 7 К. .",А-422,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,,,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-823-УВЦ, Б-825-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-823-УВЦ, Б-825-УВЦ","Математика (Практические)
Шелепова Е. В.",Л-629,"Математика (Практические)
Шелепова Е. В.",Л-629,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Лекционные)
Ногинова Л. Ю.",Г-313,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-510,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Г-514,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Г-514
,3,12:40:00 - 14:15:00,,,,,"Математика (Практические)
Акимова Е. А.",А-328,"Математика (Практические)
Акимова Е. А.",А-328,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.","Б-821-УВЦ, Б-823-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Стучилин В. В.","Б-821-УВЦ, Б-823-УВЦ","1 п.г. Вычислительные машины, сети и системы (Лабораторные)
","Б-819-УВЦ, Б-825-УВЦ","2 п.г. Вычислительные машины, сети и системы (Лабораторные)
","Б-819-УВЦ, Б-825-УВЦ","История России (Практические)
Каюмов А. Т.",К-525,"История России (Практические)
Каюмов А. Т.",К-525,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-4,"Математика (Практические)
Шелепова Е. В.",Л-633,"Математика (Практические)
Шелепова Е. В.",Л-633,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Б-904а,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Б-904а,,,,,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Введение в специальность (Практические)
Вакансия 1 К. .",А-515,"Введение в специальность (Практические)
Вакансия 1 К. .",А-515,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556
,,,"История России (Практические)
Каюмов А. Т.",А-321,"История России (Практические)
Каюмов А. Т.",А-321,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.","Б-819-УВЦ, Б-821-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Вакансия 1 К. .","Б-821-УВЦ, Б-819-УВЦ","Математика (Практические)
Акимова Е. А.",А-507,"Математика (Практические)
Акимова Е. А.",А-507,,,,,"Введение в специальность (Практические)
",А-328,"Введение в специальность (Практические)
",А-328,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Андреев С. Д.",Б-901,"Математика (Практические)
Алексенцев Ю. М.",А-512,"Математика (Практические)
Алексенцев Ю. М.",А-512,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Б-4,"Математика (Практические)
Шелепова Е. В.",Л-633,"Математика (Практические)
Шелепова Е. В.",Л-633,,,,,,,,,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"Математика (Лекционные)
Бугаевская А. Н.",Л-740,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-804-УВЦ, Б-805-УВЦ","2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-804-УВЦ, Б-805-УВЦ","Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Программирование и алгоритмизация (Лекционные)
Полевой Д. В.",Б-4,"Математика (Практические)
Ногинова Л. Ю.",Л-609,"Математика (Практические)
Ногинова Л. Ю.",Л-609,"Введение в специальность (Практические)
Белых П. В.",А-319,"Введение в специальность (Практические)
Белых П. В.",А-319,"Математика (Практические)
Чикалова А. В.",Г-325,"Математика (Практические)
Чикалова А. В.",Г-325,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","История России (Практические)
Вакансия 1 К. .",К-519,"История России (Практические)
Вакансия 1 К. .",К-519,,,,,"Математика (Практические)
Вакансия 9 К. .",Г-562,"Математика (Практические)
Вакансия 9 К. .",Г-562,"История России (Практические)
Вакансия 1 К. .",К-525,"История России (Практические)
Вакансия 1 К. .",К-525
,4,14:30:00 - 16:05:00,,,,,,,,,"Математика (Практические)
Акимова Е. А.",А-328,"Математика (Практические)
Акимова Е. А.",А-328,"История России (Практические)
Каюмов А. Т.",А-515,"История России (Практические)
Каюмов А. Т.",А-515,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Микитенко И. И.",Б-901,,,,,,,,,,,,,,,"История России (Практические)
Вакансия 4 К. .",К-525,"История России (Практические)
Вакансия 4 К. .",К-525,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-542,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-542,"Математика (Практические)
Вакансия 3 К. .",Л-631,"Математика (Практические)
Вакансия 3 К. .",Л-631,"Математика (Практические)
Вакансия 5 К. .",А-312,"Математика (Практические)
Вакансия 5 К. .",А-312,"Математика (Практические)
Бугаевская А. Н.",Л-629,"Математика (Практические)
Бугаевская А. Н.",Л-629,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-831,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-831,"Математика (Практические)
Вакансия 6 К. .",А-304,"Математика (Практические)
Вакансия 6 К. .",А-304,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-826,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-826,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-609,"Математика (Практические)
Ногинова Л. Ю.",Л-609,"Математика (Практические)
Чикалова А. В.",Г-325,"Математика (Практические)
Чикалова А. В.",Г-325,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-507,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",Б-4,"Математика (Практические)
Бугаевская А. Н.",Л-629,"Математика (Практические)
Бугаевская А. Н.",Л-629,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-806-УВЦ, Б-821-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-806-УВЦ, Б-821-УВЦ","Математика (Практические)
Вакансия 6 К. .",А-304,"Математика (Практические)
Вакансия 6 К. .",А-304,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"Введение в специальность (Лекционные)
Бакулев К. С.",Б-734,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,"История России (Лекционные)
Вакансия 7 К. .",Л-550,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Л-542,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.",Л-542
