,UUID,FirstAppearance,treatment
0,92faf35eea524c748368507c235c56a8,2023-07-13,1
1,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
2,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
3,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
4,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
5,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
6,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
7,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
8,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
9,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
10,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
11,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
12,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
13,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
14,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
15,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
16,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
17,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
18,9193f8f3f9854cbb8154bbad176cce92,2023-07-10,1
19,a41e7d70178a4ef19cffb87e3e127057,2023-07-10,1
20,c62abad37e8549a1a7efa28dd5b6044c,2023-07-10,1
21,c62abad37e8549a1a7efa28dd5b6044c,2023-07-10,1
22,c62abad37e8549a1a7efa28dd5b6044c,2023-07-10,1
23,c62abad37e8549a1a7efa28dd5b6044c,2023-07-10,1
24,c62abad37e8549a1a7efa28dd5b6044c,2023-07-10,1
25,cd5c6fd992af43a8acf4b093248b85d8,2023-07-10,1
26,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
27,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
28,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
29,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
30,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
31,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
32,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
33,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
34,d740ae110b4e457ca18163fc709cf85c,2023-07-10,1
35,ed16d9b7a1c94b0182a1b13362476f8e,2023-07-10,1
36,ed16d9b7a1c94b0182a1b13362476f8e,2023-07-10,1
37,ed16d9b7a1c94b0182a1b13362476f8e,2023-07-10,1
38,ed16d9b7a1c94b0182a1b13362476f8e,2023-07-10,1
39,ed16d9b7a1c94b0182a1b13362476f8e,2023-07-10,1
40,f0457e59c881408fb60403caedca03f2,2023-07-10,1
41,f0457e59c881408fb60403caedca03f2,2023-07-10,1
42,f0457e59c881408fb60403caedca03f2,2023-07-10,1
43,f0457e59c881408fb60403caedca03f2,2023-07-10,1
44,f0457e59c881408fb60403caedca03f2,2023-07-10,1
45,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
46,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
47,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
48,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
49,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
50,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
51,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
52,009e158cae2a426589a9fa77bade1b48,2023-07-11,1
53,03fc13b08a164e5d9dc6e8a03ba5cbd0,2023-07-11,1
54,03fc13b08a164e5d9dc6e8a03ba5cbd0,2023-07-11,1
55,03fc13b08a164e5d9dc6e8a03ba5cbd0,2023-07-11,1
56,03fc13b08a164e5d9dc6e8a03ba5cbd0,2023-07-11,1
